"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3","3","10u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C4","1","2.2u","","","","Capacitor_SMD:C_0402_1005Metric","~"
"J1","1","MCU Controls","","","","Connector_Molex:Molex_CLIK-Mate_505405-0770_1x07-1MP_P1.50mm_Vertical","~"
"J3","1","Power","","","","Connector_Molex:Molex_CLIK-Mate_505405-0370_1x03-1MP_P1.50mm_Vertical","~"
"J7","1","DC Motor Terminal","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","~"
"J9","1","USBC_RECP","","","","Connector_USB:USB_C_Receptacle_GCT_USB4115-03-C","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"R1,R2,R3,R4","4","1k","","","","Resistor_SMD:R_0603_1608Metric","~"
"R6,R7","2","5.1k","","","","Resistor_SMD:R_0603_1608Metric","~"
"R12","1","10k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R13,R14","2","1","","","","Resistor_SMD:R_0402_1005Metric","~"
"RV1","1","Slide Pot","","","","Potentiometer_THT:Potentiometer_Bourns_PTA1543_Single_Slide","~"
"SW1","1","Trigger","","","","Button_Switch_SMD:SW_SPST_PTS647_Sx38","~"
"SW2","1","Increment","","","","Button_Switch_SMD:SW_SPST_PTS647_Sx38","~"
"SW3","1","Reset","","","","Button_Switch_SMD:SW_SPST_PTS647_Sx38","~"
"SW4","1","Decrement","","","","Button_Switch_SMD:SW_SPST_PTS647_Sx38","~"
"TP1","1","GND","","","","TestPoint:TestPoint_THTPad_D1.0mm_Drill0.5mm","~"
"TP2","1","5V","","","","TestPoint:TestPoint_THTPad_D1.0mm_Drill0.5mm","~"
"TP3","1","3V3","","","","TestPoint:TestPoint_THTPad_D1.0mm_Drill0.5mm","~"
"U1","1","NCP1117","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.onsemi.com/pub_link/Collateral/NCP1117-D.PDF"
"U3","1","DRV8833PWP","","","","Package_SO:HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias","http://www.ti.com/lit/ds/symlink/drv8833.pdf"
