Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",0402,3,10u,
C4,0402,1,2.2u,
"D1, D2, D3, D4",0402,4,LED,
J1,Molex_CLIK-Mate_505405-0770_1x07-1MP_P1.50mm_Vertical,1,MCU Controls,
J3,Molex_CLIK-Mate_505405-0370_1x03-1MP_P1.50mm_Vertical,1,Power,
J7,"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",1,DC Motor Terminal,
J9,USB_C_Receptacle_GCT_USB4115-03-C,1,USBC_RECP,
"R1, R2, R3, R4",0402,4,1k,
R12,0402,1,10k,
"R13, R14",0402,2,1,
"R31, R5, R8, R9",0402,4,220,
"R6, R7",0402,2,5.1k,
RV1,Potentiometer_Bourns_PTA1543_Single_Slide,1,Slide Pot,
SW1,SW_SPST_PTS647_Sx38,1,Trigger,
SW2,SW_SPST_PTS647_Sx38,1,Increment,
SW3,SW_SPST_PTS647_Sx38,1,Reset,
SW4,SW_SPST_PTS647_Sx38,1,Decrement,
TP1,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,GND,
TP2,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,5V,
TP3,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,3V3,
U1,SOT-223-3_TabPin2,1,NCP1117,
U3,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias,1,DRV8833PWP,
