Designator,Mid X,Mid Y,Rotation,Layer
C1,133.275,-130.31,0.0,top
C2,133.275,-127.97,0.0,top
C3,123.7,-125.6325,270.0,top
C4,122.39,-125.63,270.0,top
D1,131.525,-140.5,180.0,bottom
D2,135.195,-131.79,0.0,bottom
D3,145.55,-117.655,270.0,bottom
D4,130.955,-137.53,0.0,bottom
J1,144.98,-103.94,90.0,bottom
J3,144.5,-135.65,90.0,bottom
J7,144.4,-122.97,270.0,bottom
J9,134.75,-144.165,0.0,top
R1,127.15,-122.8,180.0,top
R12,125.77,-137.44,90.0,top
R13,122.43,-137.4825,90.0,top
R14,124.08,-137.4425,90.0,top
R2,127.165,-116.0,180.0,top
R3,127.185,-108.99,180.0,top
R31,144.41,-117.66,270.0,bottom
R4,127.185,-102.0,180.0,top
R5,133.7,-140.5,180.0,bottom
R6,140.95924,-144.18276,270.0,top
R7,128.64,-144.18276,90.0,top
R8,135.18,-132.87,180.0,bottom
R9,130.99,-136.45,180.0,bottom
RV1,135.0,-111.09,90.0,top
SW1,125.0,-119.5,0.0,top
SW2,125.0,-112.5,0.0,top
SW3,125.0,-105.5,0.0,top
SW4,125.0,-98.5,0.0,top
U1,139.09,-133.57,90.0,top
U3,123.47,-132.26,0.0,top
