Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_Keystone_1060_1x2032,1,CR2032,
"C1, C4",0402,2,1u,
"C10, C11, C18, C2, C3, C5, C6, C7, C8, C9",0402,10,100n,
"C12, C13",0402,2,15p,
"D1, D2, D3, D4",0402,4,LED,
J1,PinHeader_1x03_P2.54mm_Vertical,1,Servo,
J2,Molex_CLIK-Mate_505405-0270_1x02-1MP_P1.50mm_Vertical,1,Buzzer,
J4,Molex_CLIK-Mate_505405-0770_1x07-1MP_P1.50mm_Vertical,1,Button Interface,
J5,Molex_CLIK-Mate_505405-0370_1x03-1MP_P1.50mm_Vertical,1,Power,
J6,Molex_CLIK-Mate_505405-0270_1x02-1MP_P1.50mm_Vertical,1,Release Button,
J7,PinHeader_1x05_P2.54mm_Vertical,1,Extra Pins,
"Q1, Q2, Q3, Q4, Q5, Q6",SOT-23,6,BSS138,
"R1, R2",0402,2,27.4,
"R10, R31, R32, R9",0402,4,220,
"R11, R13, R15, R16, R17, R18, R19, R20, R21, R22",0402,10,10k,
"R14, R4, R5",0402,3,1k,
"R23, R24, R25, R26, R27, R28, R29, R30",0402,8,200,
R3,1206,1,DNF (10K),
"R6, R7, R8",0402,3,4.7k,
SW1,SW_SPST_PTS810,1,SW_Push,
TP1,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,GND,
TP10,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,7SEG VCC,
TP2,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,5V,
TP3,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,3V3,
TP4,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,1V1,
TP5,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,Pot,
"TP6, TP8",TestPoint_THTPad_D1.0mm_Drill0.5mm,2,SCL,
"TP7, TP9",TestPoint_THTPad_D1.0mm_Drill0.5mm,2,SDA,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
U3,MicroCrystal_C7_SON-8_1.5x3.2mm_P0.9mm,1,RV-3028-C7,
U4,PIRUPT_14mm,1,ITR9608-F,
U5,WQFN-24-1EP_4x4mm_P0.5mm_EP2.45x2.45mm,1,TCA9535RTWR,
U6,CC56-12GWA,1,11405,
Y1,ABM8,1,Crystal_ABM8,
