"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BT1","1","CR2032","","","","Battery:BatteryHolder_Keystone_1060_1x2032","~"
"C1,C4","2","1u","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C2,C3,C5,C6,C7,C8,C9,C10,C11,C18","10","100n","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C12,C13","2","15p","","","","Capacitor_SMD:C_0402_1005Metric","~"
"D1,D2","2","LED","","","","LED_SMD:LED_1206_3216Metric","~"
"J1","1","Servo","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"J2","1","Buzzer","","","","Connector_Molex:Molex_CLIK-Mate_505405-0270_1x02-1MP_P1.50mm_Vertical","~"
"J4","1","Button Interface","","","","Connector_Molex:Molex_CLIK-Mate_505405-0770_1x07-1MP_P1.50mm_Vertical","~"
"J5","1","Power","","","","Connector_Molex:Molex_CLIK-Mate_505405-0370_1x03-1MP_P1.50mm_Vertical","~"
"J6","1","Release Button","","","","Connector_Molex:Molex_CLIK-Mate_505405-0270_1x02-1MP_P1.50mm_Vertical","~"
"J7","1","Extra Pins","","","","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~"
"Q1,Q2,Q3,Q4,Q5,Q6","6","BSS138","","","","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BSS138-D.PDF"
"R1,R2","2","27.4","","","","Resistor_SMD:R_0402_1005Metric","~"
"R3","1","DNF","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R4,R14","2","1k","","","","Resistor_SMD:R_0603_1608Metric","~"
"R5","1","1k","","","","Resistor_SMD:R_0402_1005Metric","~"
"R6,R7,R8","3","4.7k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R9,R10","2","220","","","","Resistor_SMD:R_0805_2012Metric","~"
"R11,R12,R13,R22","4","10k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R15,R16,R17,R18,R19,R20,R21","7","10k","","","","Resistor_SMD:R_0402_1005Metric","~"
"R23,R24,R25,R26,R27,R28,R29,R30","8","200","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~"
"SW1","1","SW_Push","","","","Button_Switch_SMD:SW_SPST_PTS810","~"
"TP1","1","GND","","","","TestPoint:TestPoint_THTPad_D1.0mm_Drill0.5mm","~"
"TP2","1","5V","","","","TestPoint:TestPoint_THTPad_D1.0mm_Drill0.5mm","~"
"TP3","1","3V3","","","","TestPoint:TestPoint_THTPad_D1.0mm_Drill0.5mm","~"
"TP4","1","1V1","","","","TestPoint:TestPoint_THTPad_D1.0mm_Drill0.5mm","~"
"TP5","1","Pot","","","","TestPoint:TestPoint_THTPad_D1.0mm_Drill0.5mm","~"
"TP6","1","SCL","","","","TestPoint:TestPoint_THTPad_D1.0mm_Drill0.5mm","~"
"TP7","1","SDA","","","","TestPoint:TestPoint_THTPad_D1.0mm_Drill0.5mm","~"
"U1","1","RP2040","","","","Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm","https://datasheets.raspberrypi.com/rp2040/rp2040-datasheet.pdf"
"U2","1","W25Q128JVS","","","","Package_SO:SOIC-8_5.3x5.3mm_P1.27mm","https://www.winbond.com/resource-files/w25q128jv_dtr%20revc%2003272018%20plus.pdf"
"U3","1","RV-3028-C7","","","","Package_SON:MicroCrystal_C7_SON-8_1.5x3.2mm_P0.9mm","https://www.microcrystal.com/fileadmin/Media/Products/RTC/Datasheet/RV-3028-C7.pdf"
"U4","1","ITR9608-F","","","","OptoDevice:PIRUPT_14mm","https://www.everlighteurope.com/custom/files/datasheets/DRX-0000076.pdf"
"U5","1","TCA9535RTWR","","","","Package_DFN_QFN:WQFN-24-1EP_4x4mm_P0.5mm_EP2.45x2.45mm","http://www.ti.com/lit/ds/symlink/tca9535.pdf"
"U6","1","LTC-4627JD","","","","Display_7Segment:CA56-12SURKWA","http://www.kingbright.com/attachments/file/psearch/000/00/00/CC56-12SURKWA(Ver.7A).pdf"
"Y1","1","Crystal_ABM8","","","","Crystal:ABM8","~"
