Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_Keystone_1060_1x2032,1,CR2032,
BZ1,Buzzer_CUI_CPT-9019S-SMT,1,Buzzer,
"C1, C2, C3, C4, C5, C6",0402,6,100nF,
"D1, D2, D3, D4, D5, D6, D7",0402,7,LED,
J1,PinHeader_1x03_P2.54mm_Vertical,1,Servo,
J2,SBH11-PBPC-05,1,ISP Header,
J4,Molex_CLIK-Mate_505405-0770_1x07-1MP_P1.50mm_Vertical,1,HCI Board Conn.,
J5,Molex_CLIK-Mate_505405-0370_1x03-1MP_P1.50mm_Vertical,1,Power,
J6,Molex_CLIK-Mate_505405-0270_1x02-1MP_P1.50mm_Vertical,1,Release Button,
"Q1, Q2, Q3, Q4, Q5, Q6",SOT-23,6,BSS138,
"R1, R10, R11, R12, R13, R2, R3, R33, R4, R5, R6, R7, R8, R9",0402,14,100,
"R14, R15, R16, R17, R21, R34, R35",0402,7,10k,
"R18, R19, R20, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31",0402,13,4.7k,
R32,0402,1,100k,
"R36, R37",0402,2,200,
"R38, R39, R40, R41, R42",0402,5,1k,
SW1,SW_SPST_PTS810,1,SW_Push,
U1,TQFP-32_7x7mm_P0.8mm,1,ATmega328P-A,
U2,TSSOP-24_4.4x7.8mm_P0.65mm,1,TCA9548APWR,
U3,MicroCrystal_C7_SON-8_1.5x3.2mm_P0.9mm,1,RV-3028-C7,
U4,PIRUPT_14mm,1,EE-SX1140,
U5,WQFN-24-1EP_4x4mm_P0.5mm_EP2.45x2.45mm,1,TCA9535RTWR,
U6,CC56-12GWA,1,LDQ-N514RI,
U7,SOT-23,1,APX803SR,
