Designator,Mid X,Mid Y,Rotation,Layer
BT1,98.42,-131.35,180.0,top
C1,123.7075,-112.01,180.0,top
C10,108.5475,-109.32,180.0,top
C11,130.67,-95.72,90.0,top
C12,108.1375,-102.43,0.0,top
C13,104.01,-104.39,270.0,top
C18,121.4375,-115.13,270.0,top
C2,124.4125,-107.655,180.0,top
C3,108.5475,-110.42,0.0,top
C4,122.5875,-113.08,180.0,top
C5,113.7125,-102.63,90.0,top
C6,119.4375,-102.78,90.0,top
C7,120.2875,-115.43,270.0,top
C8,114.0375,-115.78,225.0,top
C9,123.7375,-108.73,0.0,top
D1,140.495,-69.76,0.0,bottom
D2,140.475,-75.37,0.0,bottom
D3,127.7525,-67.83,180.0,top
D4,83.3435,-123.1815,0.0,top
J1,80.3,-119.01,0.0,top
J2,114.14,-86.03,0.0,top
J4,140.625,-74.26,270.0,top
J5,94.32,-114.48,0.0,top
J6,124.69,-86.17,0.0,top
J7,80.95,-72.9,0.0,top
Q1,86.1625,-119.45,180.0,bottom
Q2,117.46,-61.0375,90.0,top
Q3,112.37,-61.0075,90.0,top
Q4,107.29,-60.9475,90.0,top
Q5,104.8725,-75.53,180.0,top
Q6,120.987087,-65.132913,225.0,top
R1,123.7375,-109.73,0.0,top
R10,140.49,-74.05,0.0,bottom
R11,121.77,-95.7275,90.0,top
R13,83.51,-120.99,270.0,bottom
R14,102.655,-63.24,0.0,top
R15,121.15,-70.6273,180.0,top
R16,121.16,-72.0773,180.0,top
R17,121.16,-73.3273,180.0,top
R18,109.429999,-69.04,180.0,top
R19,109.41,-70.08,180.0,top
R2,123.0275,-110.83,0.0,top
R20,109.41,-71.08,180.0,top
R21,109.41,-72.09,180.0,top
R22,103.75,-112.6,90.0,top
R23,116.25,-65.3525,270.0,top
R24,110.317504,-65.057504,315.0,top
R25,111.075,-76.0,90.0,top
R26,116.15,-75.9275,90.0,top
R27,118.7,-75.9525,90.0,top
R28,113.79,-65.33,270.0,top
R29,108.475,-76.075,90.0,top
R3,127.42,-95.525,180.0,top
R30,113.625,-75.9025,90.0,top
R31,125.04,-67.85,180.0,top
R32,85.6485,-123.1815,0.0,top
R4,123.945,-95.85,270.0,top
R5,107.46,-107.48,0.0,top
R6,105.71,-117.3075,270.0,bottom
R7,108.51,-116.4325,270.0,bottom
R8,109.32,-120.23,90.0,bottom
R9,140.49,-71.05,0.0,bottom
SW1,130.885,-91.165,180.0,top
U1,116.15,-109.33,0.0,top
U2,127.7825,-100.255,270.0,top
U3,111.76,-118.67,180.0,bottom
U4,96.8225,-67.97,0.0,top
U5,115.35,-70.7898,270.0,top
U6,112.41,-70.75,90.0,bottom
Y1,107.4875,-104.805,180.0,top
